"第1周" "第2周" "第3周" "第4周" "第5周" "第6周" "第7周" "第8周" "第9周"
"P.33.7" 4 5 7 7 7 7 8 NA NA
"P.33.8" 3 6 7 8 9 9 9 NA NA
"P.33.9" 5 6 7 8 9 10 10 NA NA
"P.33.10" 2 4 7 8 8 9 10 NA NA
"P.34.1" 4 5 6 7 8 9 11 NA NA
"P.34.2" 5 5 5 6 6 6 6 NA NA
"P.34.3" 4 5 6 6 6 6 8 NA NA
"P.34.4" 4 5 7 7 8 8 8 NA NA
"P.34.5" 4 4 6 6 6 7 7 NA NA
"P.34.6" 3 3 4 4 4 4 4 NA NA
"P.34.7" 4 6 6 6 6 7 7 NA NA
"P.34.8" 5 6 5 6 6 7 7 NA NA
"P.34.9" 3 4 5 5 5 7 7 NA NA
"P.34.10" 4 5 5 5 5 7 7 NA NA
"P.35.1" 7 7 8 9 9 10 13 NA NA
"P.35.2" 6 8 9 10 10 12 12 NA NA
"P.35.3" 6 8 9 10 10 44 54 NA NA
"P.35.4" 5 6 6 8 8 58 153 NA NA
"P.35.5" 6 7 7 9 10 39 104 NA NA
"P.35.6" 6 7 7 7 8 16 56 NA NA
"P.35.7" 7 8 9 9 9 15 19 NA NA
"P.35.8" 7 7 7 8 9 45 112 NA NA
"P.35.9" 5 6 7 7 8 28 95 NA NA
"P.35.10" 6 7 7 8 10 64 146 NA NA
"P.36.1" 7 6 7 10 12 57 63 NA NA
"P.36.2" 6 6 7 8 8 9 9 NA NA
"P.36.3" 4 5 6 6 7 8 8 NA NA
"P.36.4" 4 5 7 8 8 9 9 NA NA
"P.36.5" 3 5 6 8 8 9 9 NA NA
"P.36.6" 3 4 7 8 8 9 9 NA NA
"P.36.7" 6 6 7 8 8 9 9 NA NA
"P.36.8" 6 7 7 8 9 10 10 NA NA
"P.36.9" 6 7 7 7 8 9 9 NA NA
"P.36.10" 6 6 7 7 8 9 9 NA NA
"P.37.1" 6 7 8 8 8 9 9 NA NA
"P.37.2" 6 7 8 10 16 59 160 NA NA
"P.37.3" 7 8 8 8 8 8 8 NA NA
"P.37.4" 6 7 7 8 8 8 8 NA NA
"P.37.5" 7 7 9 10 10 11 22 NA NA
"P.37.6" 5 7 7 8 9 9 18 NA NA
"P.37.7" 6 7 7 8 9 20 42 NA NA
"P.37.8" 8 8 10 10 10 11 11 NA NA
"P.37.9" 6 7 8 8 9 10 10 NA NA
"P.37.10" 7 8 9 10 24 67 197 NA NA
"P.38.1" 5 6 6 7 7 12 24 NA NA
"P.38.2" 4 5 6 6 7 7 7 NA NA
"P.38.3" 3 4 5 7 7 7 8 NA NA
"P.38.4" 3 5 5 6 6 7 7 NA NA
"P.38.5" 6 7 7 7 7 8 11 NA NA
"P.38.6" 6 7 7 7 7 18 46 NA NA
"P.38.7" 6 7 7 7 7 8 18 NA NA
"P.38.8" 6 6 6 7 8 8 16 NA NA
"P.38.9" 5 6 6 6 7 8 22 NA NA
"P.38.10" 5 6 6 7 7 8 9 NA NA
"P.41.1" 4 5 5 6 6 9 44 79 117
"P.41.2" 6 7 8 17 32 50 65 78 82
"P.41.3" 6 6 6 16 35 55 60 60 68
"P.41.4" 5 5 5 7 10 17 34 45 45
"P.41.5" 5 5 6 7 9 13 27 32 34
"P.41.6" 4 5 5 5 9 16 28 34 88
"P.41.7" 4 5 5 5 6 7 30 41 45
"P.41.8" 6 7 7 8 29 50 98 117 118
"P.41.9" 6 7 7 9 33 59 60 60 68
"P.41.10" 5 6 7 7 25 42 66 80 82
"P.42.1" 6 6 6 7 8 8 8 9 9
"P.42.2" 7 8 8 9 10 10 10 10 10
"P.42.3" 5 6 7 8 8 8 8 9 9
"P.42.4" 5 5 5 6 7 7 7 8 8
"P.42.5" 7 7 7 7 8 8 8 8 11
"P.42.6" 6 6 7 8 8 8 8 9 9
"P.42.7" 6 6 7 8 9 9 9 9 9
"P.42.8" 6 7 8 8 9 9 9 9 9
"P.42.9" 7 9 9 9 9 9 9 9 9
"P.42.10" 7 8 8 9 9 10 10 10 10
"P.43.1" 9 9 10 12 14 14 14 15 44
"P.43.2" 7 7 8 11 12 12 12 13 13
"P.43.3" 7 8 9 11 11 11 11 11 16
"P.43.4" 7 8 8 1 12 12 12 13 17
"P.43.5" 8 8 10 12 14 14 42 59 86
"P.43.6" 8 8 9 11 13 13 13 13 20
"P.43.7" 7 7 8 11 12 12 12 13 13
"P.43.8" 6 7 7 7 8 15 22 36 93
"P.43.9" 7 8 9 10 12 12 12 13 23
"P.43.10" 8 8 8 10 12 12 12 13 17
"P.44.1" 7 7 7 9 10 10 10 10 10
"P.44.2" 6 7 7 9 9 10 10 11 13
"P.44.3" 7 7 9 10 12 12 12 13 21
"P.44.4" 7 8 8 10 13 13 13 13 13
"P.44.5" 5 5 6 6 7 8 8 8 8
"P.44.6" 6 7 8 8 11 11 11 11 11
"P.44.7" 5 5 6 7 7 7 7 10 10
"P.44.8" 5 6 7 8 8 8 8 10 10
"P.44.9" 5 6 7 8 9 9 9 10 10
"P.44.10" 6 6 8 8 9 9 9 10 10
"P.45.1" 6 7 8 23 45 57 71 79 80
"P.45.2" 6 7 8 12 33 58 77 88 89
"P.45.3" 5 6 9 13 39 44 52 56 56
"P.45.4" 4 5 5 5 5 26 26 26 26
"P.45.5" 5 6 7 10 37 52 52 52 52
"P.45.6" 5 7 7 9 38 74 79 81 89
"P.45.7" 5 7 7 8 31 60 63 68 70
"P.45.8" 6 8 8 8 11 19 25 27 30
"P.45.9" 5 7 9 11 40 73 89 98 98
"P.45.10" 6 8 8 11 27 50 55 57 61
"P.46.1" 5 6 7 8 9 9 13 16 20
"P.46.2" 6 7 7 8 9 14 25 63 61
"P.46.3" 6 7 8 9 12 12 13 13 13
"P.46.4" 6 6 7 7 8 9 14 31 31
"P.46.5" 7 8 8 8 9 9 9 9 9
"P.46.6" 7 7 9 10 11 11 11 11 11
"P.46.7" 7 8 8 8 9 10 11 11 11
